,title,Pageid,Length,NS,Nb revisions,Nb revisions IP,Nb revisions bot,Nb revisions wiki,Nb editos,Nb editors IP,Nb editors Bot,Nb editors Wiki,Links,Date
213,Distance geometry,654387,11926,0,124,31,8,85,50,14,4,32,43,1215
214,Tessellation,321671,32936,0,2049,838,139,1072,957,540,16,401,382,977
215,Polytope,23471,19708,0,362,45,26,291,155,35,8,112,246,235
216,Projective plane,24350,46190,0,311,63,18,230,136,45,6,85,138,269
217,Heronian triangle,731959,12078,0,122,24,11,87,67,18,6,43,46,1249
218,Pedoe's inequality,601060,1436,0,55,5,10,40,29,4,4,21,11,1187
219,Complex projective plane,737155,2902,0,29,4,4,21,20,4,3,13,26,1251
220,Riemann sphere,30876799,19017,0,232,47,21,164,129,38,6,85,121,762
221,Binary space partitioning,73613,22320,0,237,71,22,144,157,58,10,89,136,582
222,Nine-point circle,161243,14584,0,322,87,21,214,167,57,8,102,70,708
223,Topology,29954,28500,0,1392,457,81,854,766,345,20,401,249,323
224,Space group,463721,43385,0,470,106,25,339,158,69,11,78,113,1121
225,Projective geometry,243849,32246,0,383,95,37,251,178,63,12,103,245,877
226,Computer graphics,18567210,59906,0,969,431,56,482,536,295,10,231,786,2746
227,Angle,1196,41686,0,1818,717,139,962,957,486,20,451,219,302
228,Heron's formula,194123,13466,0,673,272,45,356,369,191,12,166,52,783
229,Mirror image,148234,7520,0,325,135,28,162,193,77,11,105,51,671
230,Riemannian geometry,195243,12441,0,298,83,19,196,164,60,9,95,304,786
231,Handedness,172644,34994,0,1424,510,100,814,799,366,12,421,126,737
232,Möbius transformation,314493,62247,0,558,118,31,409,216,72,9,135,226,966
233,Minkowski space,230488,20062,0,517,91,27,399,252,79,13,160,238,855
234,Angle trisection,91111,17605,0,451,115,38,298,196,67,9,120,181,618
235,Euclidean shortest path,10976022,6314,0,44,14,5,25,27,11,3,13,39,2296
236,Relative direction,18183,10045,0,358,93,29,236,251,79,9,163,80,406
237,Minkowski addition,504105,16460,0,159,41,15,103,81,25,7,49,205,1144
238,Inscribed angle,462730,8781,0,224,94,28,102,146,62,6,78,43,1121
239,Minkowski's theorem,53455,6304,0,76,12,10,54,52,10,2,40,48,324
240,Quadric,145570,11462,0,195,56,12,127,128,43,5,80,72,663
241,Parametric equation,576108,12692,0,371,139,31,201,218,90,10,118,69,1175
242,Differential geometry,8625,20880,0,483,129,48,306,264,96,15,153,324,297
243,Mathematics,18831,64526,0,6170,1796,329,4045,2733,1222,35,1476,506,297
244,Quasicrystal,25350,33445,0,611,175,55,381,311,111,15,185,126,367
245,Pythagorean triple,24172,64306,0,2144,842,83,1219,748,414,14,320,184,254
246,Heronian tetrahedron,426551,851,0,19,5,3,11,16,4,2,10,12,1090
247,Analytic geometry,2202,36098,0,515,197,53,265,329,151,16,162,233,273
248,Prototile,39372,3038,0,33,6,5,22,21,2,2,17,201,397
249,Point location,504494,14084,0,84,18,14,52,48,13,6,29,59,1144
250,Triangle,30654,66232,0,4586,2032,277,2277,2310,1394,24,892,287,243
251,Dividing a circle into areas,399730,9288,0,88,32,4,52,46,15,2,29,24,1062
252,Noncommutative geometry,295917,16161,0,222,54,11,157,125,41,4,80,105,940
253,Concyclic points,504404,10414,0,98,16,7,75,44,12,2,30,80,1144
254,Inversive geometry,295844,20202,0,330,51,20,259,138,39,5,94,110,940
255,Conic section,19008673,44231,0,892,282,66,544,485,182,15,288,178,280
256,Shape,169191,12652,0,896,346,103,447,498,248,15,235,88,730
257,Graham scan,393372,7476,0,163,58,16,89,100,45,6,49,27,1057
258,Parallelepiped,23975,10611,0,301,80,36,185,163,59,13,91,121,242
259,Conformal geometry,295907,20542,0,171,13,14,144,69,10,6,53,97,940
260,Locus (mathematics),542465,5868,0,359,142,40,177,225,106,9,110,39,1161
261,Aperiodic tiling,868145,21278,0,284,63,23,198,145,41,9,95,243,1292
262,Right triangle,39420,15827,0,352,118,31,203,182,82,10,90,73,398
263,Symmetry group,28186,14946,0,274,47,18,209,110,30,8,72,92,248
264,Constructive solid geometry,386499,6568,0,222,81,13,128,146,62,5,79,68,1052
265,Pascal's theorem,699966,16080,0,245,55,29,161,115,30,12,73,79,1235
266,Pick's theorem,328252,5994,0,258,79,19,160,143,52,8,83,29,985
267,List of interactive geometry software,1196020,34524,0,680,343,26,311,258,136,10,112,145,1407
268,Stereographic projection,143431,36770,0,442,57,27,358,182,43,9,130,258,657
269,Infinitesimal transformation,658068,3930,0,52,4,6,42,26,4,2,20,44,1217
270,Cyclic quadrilateral,194131,22822,0,257,58,34,165,114,39,11,64,102,783
271,Euclidean distance,53932,6424,0,273,90,25,158,173,66,11,96,35,498
272,Homography,3051962,29201,0,233,47,15,171,110,37,8,65,104,1751
273,Spheroid,82365,5966,0,276,94,31,151,160,61,11,88,38,601
274,Convex geometry,4165882,5490,0,91,45,5,41,43,16,2,25,28,1864
275,Coordinate-free,18858579,1594,0,33,0,1,32,10,0,0,10,32,2768
276,Penrose tiling,26611936,41943,0,677,170,36,471,304,108,10,186,293,435
277,Image analysis,346382,7741,0,182,60,15,107,114,41,6,67,66,1009
278,Hyperplane at infinity,713946,2696,0,32,4,1,27,18,4,1,13,15,1242
279,Hermite spline,270977,340,0,18,3,1,14,14,3,1,10,12,914
280,Cross-ratio,401767,21711,0,203,29,17,157,83,20,8,55,108,1063
281,Reflection (mathematics),295829,8176,0,268,85,27,156,156,57,8,91,69,940
282,Point group,1138942,68972,0,246,112,9,125,72,21,5,46,126,1391
283,Point groups in three dimensions,2694525,54230,0,355,19,12,324,72,15,5,52,168,1706
284,Wallpaper group,386214,60246,0,701,122,25,554,174,63,9,102,352,1052
285,Frieze group,375503,8991,0,178,22,15,141,68,20,6,42,48,1041
286,Hilbert's axioms,838151,14590,0,247,95,17,135,128,51,5,72,55,1279
287,Finite geometry,267061,19675,0,150,20,11,119,73,16,4,53,142,910
288,Chirality (mathematics),1170160,6926,0,108,28,14,66,75,22,6,47,50,1400
289,Cross section (geometry),1337370,8197,0,158,59,17,82,100,31,7,62,91,1443
290,Ordered geometry,14597235,5863,0,44,4,4,36,22,3,1,18,46,2517
291,Parallelogram law,362953,6341,0,169,42,15,112,93,36,3,54,32,1030
292,Orthocentric system,161263,11584,0,91,9,5,77,41,8,3,30,40,708
293,Kite (geometry),84840,13689,0,572,212,53,307,306,150,11,145,113,606
294,Sphere,27859,26125,0,1597,685,89,823,928,480,14,434,202,213
295,Hyperplane,99862,6989,0,268,80,26,162,137,45,6,86,97,628
296,Hyperboloid,145844,9235,0,184,38,24,122,114,31,8,75,65,664
297,Delaunay triangulation,8864,19215,0,403,134,29,240,229,104,13,112,66,310
298,Homothetic transformation,386138,4004,0,138,29,20,89,103,24,9,70,28,1052
299,Curve of constant width,580238,7896,0,130,25,11,94,79,22,5,52,41,1177
300,Ellipse,9277,54942,0,2097,773,112,1212,1017,524,17,476,282,317
301,Coordinate rotations and reflections,596267,3680,0,35,4,6,25,24,4,2,18,22,1185
302,Internal and external angle,524003,3342,0,257,111,24,122,163,80,7,76,16,1153
